Product,Country,Value($m),,,,,,,,,,,,,,,,,,,,,,,,
Beef & Veal,Canada,118.60,,,,,,,,,,,,,,,,,,,,,,,,
Beef & Veal,United States of America,1729.57,,,,,,,,,,,,,,,,,,,,,,,,
Beef & Veal,China,1900.85,,,,,,,,,,,,,,,,,,,,,,,,
Beef & Veal,Hong Kong,109.48,,,,,,,,,,,,,,,,,,,,,,,,
Beef & Veal,Indonesia,354.00,,,,,,,,,,,,,,,,,,,,,,,,
Beef & Veal,Japan,2129.61,,,,,,,,,,,,,,,,,,,,,,,,
Beef & Veal,Korea Republic of,1826.46,,,,,,,,,,,,,,,,,,,,,,,,
Beef & Veal,Malaysia,102.13,,,,,,,,,,,,,,,,,,,,,,,,
Beef & Veal,Philippines,182.93,,,,,,,,,,,,,,,,,,,,,,,,
Beef & Veal,Singapore,96.503599,,,,,,,,,,,,,,,,,,,,,,,,
Beef & Veal,Taiwan,282.955206,,,,,,,,,,,,,,,,,,,,,,,,
Beef & Veal,Thailand,163.673158,,,,,,,,,,,,,,,,,,,,,,,,
Beef & Veal,Vietnam,127.065352,,,,,,,,,,,,,,,,,,,,,,,,
Beef & Veal,Commonwealth of Independent States (CIS),0.528285,,,,,,,,,,,,,,,,,,,,,,,,
Beef & Veal,European Union 28 (EU),151.546821,,,,,,,,,,,,,,,,,,,,,,,,
Beef & Veal,Jordan,13.353097,,,,,,,,,,,,,,,,,,,,,,,,
Beef & Veal,Kuwait,22.508275,,,,,,,,,,,,,,,,,,,,,,,,
Beef & Veal,Qatar,27.452389,,,,,,,,,,,,,,,,,,,,,,,,
Beef & Veal,Saudi Arabia,178.180253,,,,,,,,,,,,,,,,,,,,,,,,
Beef & Veal,United Arab Emirates,161.008158,,,,,,,,,,,,,,,,,,,,,,,,
Beef & Veal,New Zealand,34.943363,,,,,,,,,,,,,,,,,,,,,,,,
Beef & Veal,Papua New Guinea,20.35991,,,,,,,,,,,,,,,,,,,,,,,,
Lamb,China,553.21,,,,,,,,,,,,,,,,,,,,,,,,
Lamb,European Union 28 (EU),135.99,,,,,,,,,,,,,,,,,,,,,,,,
Lamb,United Kingdom,88.61,,,,,,,,,,,,,,,,,,,,,,,,
Lamb,Hong Kong,22.98,,,,,,,,,,,,,,,,,,,,,,,,
Lamb,Japan,136.53,,,,,,,,,,,,,,,,,,,,,,,,
Lamb,Middle East,409.85,,,,,,,,,,,,,,,,,,,,,,,,
Lamb,Bahrain,5.45,,,,,,,,,,,,,,,,,,,,,,,,
Lamb,Jordan,50.45,,,,,,,,,,,,,,,,,,,,,,,,
Lamb,Qatar,64.72,,,,,,,,,,,,,,,,,,,,,,,,
Lamb,Saudi Arabia,80.33,,,,,,,,,,,,,,,,,,,,,,,,
Lamb,United Arab Emirates,171.47,,,,,,,,,,,,,,,,,,,,,,,,
Lamb,Other Middle East,37.43,,,,,,,,,,,,,,,,,,,,,,,,
Lamb,Papua New Guinea,78.47,,,,,,,,,,,,,,,,,,,,,,,,
Lamb,United States of America,1163.76,,,,,,,,,,,,,,,,,,,,,,,,
Mutton,China,488.29,,,,,,,,,,,,,,,,,,,,,,,,
Mutton,Japan,50.01,,,,,,,,,,,,,,,,,,,,,,,,
Mutton,Malaysia,170.95,,,,,,,,,,,,,,,,,,,,,,,,
Mutton,Middle East,146.86,,,,,,,,,,,,,,,,,,,,,,,,
Mutton,Bahrain,4.39,,,,,,,,,,,,,,,,,,,,,,,,
Mutton,Kuwait,16.71,,,,,,,,,,,,,,,,,,,,,,,,
Mutton,Saudi Arabia,48.31,,,,,,,,,,,,,,,,,,,,,,,,
Mutton,United Arab Emirates,46.21,,,,,,,,,,,,,,,,,,,,,,,,
Mutton,Other Middle East,31.25,,,,,,,,,,,,,,,,,,,,,,,,
Mutton,Singapore,70.03,,,,,,,,,,,,,,,,,,,,,,,,
Mutton,Taiwan,33.97,,,,,,,,,,,,,,,,,,,,,,,,
Mutton,United States of America,175.49,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
